"","res35noFilt.rownames","res35noFilt.log2FoldChange","res35noFilt.padj"
"228","L03F6302",0,1
"229","L03F6303",0.340549942441366,1
"230","L03F6304",0.477823453247124,1
"231","L03F6305",0.577280495589364,1
"232","L03F6306",1.06284570216301,1
"233","L03F6307",1.62277380533146,1
"234","L03F6308",0,1
"235","L03F6309",0.0741085211312044,1
"236","L03F6310",0,1
"237","L03F6311",-0.0962181624756461,1
"238","L03F6312",0,1
"239","L03F6313",0,1
"240","L03F6314",1.7951889406579,1
"241","L03F6315",0,1
"242","L03F6316",0,1
"243","L03F6317",0.173338802674807,1
"244","L03F6318",0,1
"245","L03F6319",-1.75525157477678,0.523525145423074
"246","L03F6320",0,1
"247","L03F6321",1.50090871793663,1
"248","L03F6322",1.51835693413993,1
"249","L03F6323",-1.59217140530051,1
"250","L03F6324",-0.260290452782983,1
"251","L03F6325",1.61461762545224,1
"252","L03F6326",0,1
"253","L03F6327",0.191258795903709,1
"254","L03F6328",-0.121340015445608,1
"255","L03F6329",0,1
"256","L03F6330",-1.6189143493358,0.675009025455788
"257","L03F6331",-2.36477153283727,0.523525145423074
"258","L03F6332",-1.86931630288025,0.890011000077354
"259","L03F6333",-1.59197580984037,1
"260","L03F6334",0,1
"261","L03F6335",0.334616964463893,1
"262","L03F6336",0,1
"263","L03F6337",0,1
"264","L03F6338",0.0739716915163806,1
"265","L03F6339",0,1
"266","L03F6340",-1.02691814463864,1
"267","L03F6341",0,1
"268","L03F6342",0,1
"269","L03F6343",0,1
"270","L03F6344",0.0916998806378224,1
"271","L03F6345",0.0575877589479066,1
"272","L03F6346",0.278039213678622,1
"273","L03F6347",-0.137498642310503,1
"274","L03F6348",-0.782461657140317,1
"275","L03F6349",-1.59200422310719,1
"276","L03F6350",-0.220897565411303,1
"277","L03F6351",-0.00961686180811957,1
"278","L03F6352",0.961776301805491,1
"279","L03F6353",0.437769946317178,1
"280","L03F6354",1.64909141540027,0.523525145423074
"281","L03F6355",1.41367060513414,0.754111316555695
"282","L03F6356",NA,NA
"283","L03F6357",NA,NA
"284","L03F6358",NA,NA
"285","L03F6359",NA,NA
"286","L03F6360",NA,NA
"287","L03F6361",NA,NA
"288","L03F6362",NA,NA
"289","L03F6363",NA,NA
