"","res35thawed_frozen2.rownames","res35thawing_frozen2.log2FoldChange","res35thawing_frozen2.padj","res35thawed_frozen2.log2FoldChange","res35thawed_frozen2.padj"
"44","Listeria surface proteins. Internalin.like proteins",-0.764910065515724,0.784329743728732,-1.33119021079865,0.398526850002525
"45","Listeria surface proteins. LPXTG motif",5.21422415336327,0.799249336374302,-1.59141549574859,1
"46","Mediator of hyperadherence YidE in Enterobacteria and its conserved region",2.17534017501665,0.425682961835503,1.54107599807005,0.627585862677913
"47","MRSA analysis Oli",3.95424344427877,0.334996580665832,0.365972782203235,1
"48","MymA operon of Mycobacterium tuberculosis",-0.871396340596822,0.780255883225721,-1.83305871793287,0.184317522946907
"49","Salmonella invasion locus",5.21435941015162,0.799249336374302,-1.59128023770387,1
"50","Streptococcus pyogenes recombinatorial zone",-0.502313973609522,0.843176290538893,0.342986295690729,1
"51","Streptococcus pyogenes Virulome",0,1,0.0551565938516557,1
"52","Streptolysin S Biosynthesis and Transport",3.06731469301238,0.425682961835503,-0.879265162156097,1
"53","Tolerance to colicin E2",-0.727767974308601,0.566856578858067,0.00561119151978637,1
"54","Type 1 pili (mannose.sensitive fimbriae)",5.2143885707267,0.799249336374302,-1.591251076841,1
"55","Family 02 Ca2 P.type ATPase",-0.395421065247043,0.429638543556642,-0.218305973163017,0.630573086027473
"56","FIG039061. hypothetical protein related to heme utilization",-0.1456797405397,0.753090762998049,0.0153698242267933,1
"57","MukBEF Chromosome Condensation",NA,NA,NA,NA
"58","Alginate metabolism",NA,NA,NA,NA
"59","Polyglycerolphosphate lipoteichoic acid biosynthesis",NA,NA,NA,NA
"60","At1g69340 At2g40600",NA,NA,NA,NA
"61","Coagulation cascade",NA,NA,NA,NA
"62","Regulatory Intramembrane Proteolysis Pathways",NA,NA,NA,NA
"63","Terminal cytochrome C oxidases",NA,NA,NA,NA
